Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,17:00,25.0,1.4,233.2,1008.0,23.5,70.0,1.1,60.0,91.4,Parcialmente Nublado - Tormenta Ligera
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,18:00,24.3,1.5,217.3,1009.0,23.1,70.7,1.1,0.0,92.9,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,19:00,23.8,1.4,203.2,1010.0,22.7,70.7,1.2,0.0,93.7,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,20:00,23.7,1.3,193.9,1010.8,22.8,70.0,0.6,0.0,94.7,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,21:00,23.5,1.1,177.3,1011.5,22.8,80.0,0.0,0.0,95.8,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,22:00,23.4,1.0,177.3,1012.0,22.8,70.0,0.0,0.0,96.4,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-03,23:00,23.2,1.1,187.3,1012.1,22.7,80.0,0.0,0.0,97.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,00:00,23.1,1.3,193.9,1011.6,22.6,80.0,0.0,0.0,97.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,01:00,22.9,1.4,197.3,1010.7,22.5,80.0,0.0,0.0,97.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,02:00,22.7,1.4,203.9,1010.1,22.2,84.5,0.0,0.0,96.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,03:00,22.8,1.4,193.9,1009.8,22.2,81.1,0.0,0.0,96.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,04:00,22.6,1.6,190.0,1010.2,22.3,81.1,0.0,0.0,98.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,05:00,22.3,1.6,183.9,1010.5,22.0,90.0,0.0,0.0,97.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,06:00,22.3,1.5,183.5,1010.8,22.0,90.0,0.0,0.0,97.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,07:00,23.1,1.4,193.9,1011.0,22.6,90.0,0.0,0.0,97.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,08:00,24.0,1.6,210.0,1011.9,23.2,80.0,0.0,0.0,95.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,09:00,24.6,1.6,213.9,1012.1,23.1,90.0,0.0,0.0,91.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,10:00,25.5,1.7,224.5,1011.7,23.1,90.0,0.0,0.0,86.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,11:00,26.9,1.8,240.4,1011.2,23.4,90.0,0.0,0.0,81.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,12:00,28.2,1.6,243.9,1010.5,23.8,90.0,0.0,0.0,77.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,13:00,29.1,1.3,224.9,1009.2,24.1,86.1,0.0,0.0,74.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,14:00,28.7,1.1,223.9,1008.1,24.3,80.0,0.5,0.0,77.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,15:00,27.6,1.0,223.9,1007.3,23.9,80.0,0.9,0.0,80.3,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,16:00,27.0,1.1,233.5,1007.0,24.6,75.5,3.4,30.0,86.7,Parcialmente Nublado - Tormenta Ligera
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,17:00,26.1,1.1,248.9,1007.6,24.6,80.0,2.6,0.0,91.3,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,18:00,24.7,1.2,242.8,1008.6,23.3,80.0,2.7,0.0,92.0,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,19:00,23.7,1.0,228.9,1009.6,22.6,80.0,2.0,0.0,93.8,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,20:00,23.0,1.0,212.8,1010.5,22.0,84.5,0.9,20.0,94.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,21:00,22.6,1.0,193.2,1011.3,21.9,90.0,0.5,0.0,95.6,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,22:00,22.6,1.3,187.3,1011.7,22.0,90.0,0.7,0.0,96.3,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-04,23:00,22.6,1.6,183.9,1011.7,22.0,90.0,0.7,0.0,96.8,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,00:00,22.4,1.5,193.9,1011.1,21.9,90.0,0.0,0.0,97.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,01:00,22.1,1.8,193.9,1010.4,21.7,81.1,0.0,0.0,97.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,02:00,21.9,1.9,203.9,1009.8,21.6,96.5,0.0,0.0,97.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,03:00,21.8,1.8,203.5,1009.4,21.4,90.7,0.0,0.0,97.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,04:00,21.6,1.8,193.9,1009.5,21.3,90.0,0.0,0.0,97.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,05:00,21.6,1.8,199.4,1009.6,21.3,99.6,0.0,0.0,97.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,06:00,21.6,1.5,170.0,1010.1,21.3,100.0,0.0,0.0,98.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,07:00,22.2,1.4,146.1,1010.6,21.8,100.0,0.0,0.0,97.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,08:00,23.1,1.5,155.7,1011.2,22.3,100.0,0.0,0.0,95.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,09:00,24.0,1.8,175.5,1011.6,22.5,100.0,0.0,0.0,91.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,10:00,25.6,1.6,185.5,1011.7,22.8,100.0,0.0,0.0,84.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,11:00,25.7,1.8,214.5,1011.4,22.6,100.0,0.4,0.0,83.0,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,12:00,25.9,2.3,223.9,1010.6,22.6,100.0,0.3,0.0,82.0,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,13:00,26.9,2.4,223.9,1009.2,22.5,100.0,0.9,0.0,76.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,14:00,27.3,1.9,197.7,1008.2,22.2,100.0,3.9,0.0,73.6,Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,15:00,26.6,1.7,183.9,1007.7,22.4,90.4,4.4,0.0,77.6,Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,16:00,26.0,1.9,200.4,1007.6,22.6,81.1,3.3,0.0,81.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,17:00,25.5,1.9,203.9,1007.8,22.9,81.1,1.3,0.0,85.4,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,18:00,24.1,1.9,200.0,1008.4,22.6,84.5,0.0,0.0,91.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,19:00,23.2,1.9,193.5,1009.4,22.2,90.0,0.0,0.0,94.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,20:00,22.7,1.8,183.9,1010.4,22.0,90.0,0.0,0.0,95.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,21:00,22.6,1.8,182.8,1011.1,22.0,93.9,0.0,0.0,96.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,22:00,22.4,1.7,173.9,1011.6,21.8,100.0,0.0,0.0,96.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-05,23:00,22.2,1.8,190.0,1011.5,21.7,100.0,0.0,0.0,96.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,00:00,22.0,1.9,183.5,1011.0,21.6,100.0,0.0,0.0,97.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,01:00,21.9,1.8,183.5,1010.5,21.5,100.0,0.0,0.0,97.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,02:00,21.7,1.9,189.4,1010.1,21.4,100.0,0.0,0.0,97.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,03:00,21.6,1.8,193.9,1009.7,21.3,100.0,0.1,0.0,97.9,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,04:00,21.6,1.6,190.0,1009.4,21.2,100.0,0.0,0.0,97.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,05:00,21.5,1.7,203.5,1009.5,21.1,100.0,0.0,0.0,97.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,06:00,21.4,1.6,190.0,1009.8,21.1,100.0,0.0,0.0,97.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,07:00,22.2,1.4,179.4,1010.3,21.7,100.0,0.0,0.0,96.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,08:00,23.5,1.5,170.0,1010.6,22.3,100.0,0.0,0.0,93.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,09:00,23.2,1.4,190.0,1011.3,22.2,100.0,0.0,0.0,94.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,10:00,25.8,1.4,210.0,1011.0,23.0,100.0,0.0,0.0,84.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,11:00,25.6,1.7,230.4,1010.9,23.6,100.0,0.4,0.0,88.4,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,12:00,26.2,1.8,223.9,1010.0,23.5,100.0,0.4,0.0,85.2,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,13:00,26.4,2.7,213.9,1009.3,24.1,100.0,0.9,0.0,87.0,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,14:00,25.8,3.3,210.0,1008.6,24.2,100.0,1.4,0.0,91.2,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,15:00,25.6,3.4,210.0,1007.9,23.9,100.0,1.1,0.0,90.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,16:00,25.1,3.1,213.9,1007.7,23.2,100.0,0.8,0.0,89.3,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,17:00,25.1,3.0,213.9,1008.0,22.8,100.0,0.6,0.0,87.4,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,18:00,24.1,3.3,213.9,1008.9,22.3,100.0,0.5,0.0,89.8,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,19:00,23.2,3.1,210.0,1009.9,21.8,100.0,0.0,0.0,92.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,20:00,22.8,2.6,203.9,1010.6,21.6,100.0,0.0,0.0,93.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,21:00,22.6,2.5,203.5,1011.4,21.6,100.0,0.0,0.0,94.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,22:00,21.7,2.3,203.5,1012.5,21.0,100.0,0.0,0.0,95.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-06,23:00,21.5,2.2,209.4,1012.5,20.9,100.0,0.0,0.0,96.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-07,00:00,21.3,2.1,203.5,1012.2,20.8,100.0,0.0,0.0,96.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-07,01:00,21.2,2.2,199.4,1011.5,20.7,100.0,0.0,0.0,96.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-07,02:00,21.3,2.2,190.0,1010.9,20.8,100.0,0.0,0.0,97.0,Nublado
Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,17:00,25.1,1.3,217.9,1007.9,23.9,70.0,1.1,40.0,93.1,Parcialmente Nublado - Tormenta Ligera
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,18:00,24.4,1.5,206.1,1008.9,23.5,80.0,1.4,0.0,94.7,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,19:00,23.9,1.4,187.9,1009.9,23.1,80.0,1.8,0.0,95.2,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,20:00,23.8,1.2,185.8,1010.7,23.1,71.9,1.2,0.0,96.3,Parcialmente Nublado - Lluvia Fuerte
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,21:00,23.6,1.1,167.9,1011.5,23.2,80.0,0.7,0.0,97.3,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,22:00,23.4,1.1,167.9,1012.0,23.0,72.1,0.5,0.0,97.7,Parcialmente Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-03,23:00,23.3,1.1,176.1,1012.0,22.9,80.0,0.3,0.0,97.6,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,00:00,23.1,1.0,177.9,1011.5,22.8,80.0,0.0,0.0,98.1,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,01:00,23.0,1.2,179.0,1010.7,22.8,80.0,0.0,0.0,98.5,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,02:00,22.9,1.2,197.9,1010.1,22.6,87.9,0.0,0.0,98.3,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,03:00,22.6,1.2,187.9,1009.8,22.3,90.0,0.0,0.0,98.3,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,04:00,22.4,1.3,180.0,1010.2,22.3,90.0,0.0,0.0,99.2,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,05:00,22.2,1.2,178.1,1010.5,22.1,90.0,0.0,0.0,99.1,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,06:00,22.4,1.1,180.0,1010.9,22.2,90.0,0.0,0.0,98.9,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,07:00,23.1,1.0,190.0,1010.9,22.7,90.0,0.0,0.0,98.1,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,08:00,24.1,1.3,207.9,1011.9,23.4,80.0,0.0,0.0,96.1,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,09:00,24.9,1.4,210.0,1012.1,23.5,80.9,0.0,0.0,91.9,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,10:00,25.6,1.5,227.9,1011.7,23.2,80.9,0.0,0.0,86.4,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,11:00,26.4,1.7,239.8,1011.2,24.3,90.0,0.0,0.0,88.3,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,12:00,28.2,1.4,256.8,1010.5,23.8,90.0,0.0,0.0,76.8,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,13:00,29.9,1.2,234.9,1009.2,24.1,90.0,0.0,0.0,71.3,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,14:00,29.2,1.3,217.9,1008.0,24.5,80.0,0.0,0.0,75.8,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,15:00,28.1,1.3,224.9,1007.2,24.5,80.0,1.1,10.0,80.7,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,16:00,27.6,1.4,220.9,1007.0,25.2,79.1,3.9,10.0,86.7,Nublado - Lluvia Fuerte
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,17:00,26.7,1.3,221.1,1007.6,25.1,80.0,2.5,0.0,91.0,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,18:00,24.8,1.3,219.0,1008.5,23.7,81.9,2.0,0.0,93.9,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,19:00,23.6,1.2,199.0,1009.6,23.1,81.9,1.3,0.0,96.7,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,20:00,22.6,1.2,176.9,1010.6,22.2,98.9,0.1,0.0,97.5,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,21:00,22.3,1.1,176.1,1011.3,22.0,99.8,0.0,0.0,98.2,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,22:00,22.3,1.3,169.0,1011.7,22.0,99.1,0.5,0.0,98.6,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-04,23:00,22.3,1.4,170.9,1011.7,22.0,92.1,0.0,0.0,98.5,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,00:00,22.1,1.3,180.9,1011.1,21.9,92.1,0.0,0.0,98.6,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,01:00,21.8,1.4,188.1,1010.4,21.6,90.2,0.0,0.0,98.7,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,02:00,21.7,1.4,198.1,1009.9,21.4,100.0,0.0,0.0,98.8,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,03:00,21.5,1.3,190.0,1009.5,21.3,100.0,0.0,0.0,98.8,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,04:00,21.5,1.2,190.0,1009.6,21.2,99.1,0.0,0.0,98.7,Nublado
